"Pokedex Number","Pokemon Name","Classification","Legendary Type","Height","Weight","Primary Type","Secondary Type","Primary Ability","Primary Ability Description","Secondary Ability","Secondary Ability Description","Hidden Ability","Hidden Ability Description","Male Ratio","Female Ratio","Games of Origin","Health EV","Attack EV","Defense EV","Special Attack EV","Special Defense EV","Speed EV","Catch Rate","Experience Growth Name","Experience Growth Total","Experience Yield","Base Happiness","Health Base Stat","Attack Base Stat","Defense Base Stat","Special Attack Base Stat","Special Defense Base Stat","Speed Base Stat","Primary Egg Group","Secondary Egg Group","Cycle Count","Pre-Evolution Pokedex Number","Evolution Method","Evolution Details","Original Pokemon","Form Name"
"1","Bulbasaur","Seed Pokemon","",".70","6.90","Grass","Poison","Overgrow","Powers up Grass-type moves when the Pokemon's HP is low.","","","Chlorophyll","Boosts the Pokemon's Speed stat in harsh sunlight.","87.5","12.5","Red / Blue / Yellow","0","0","0","1","0","0","45","Medium Slow","1059860","64","70","45","49","49","65","65","45","Monster","Grass","20","","","","",""
"2","Ivysaur","Seed Pokemon","","1.00","13.00","Grass","Poison","Overgrow","Powers up Grass-type moves when the Pokemon's HP is low.","","","Chlorophyll","Boosts the Pokemon's Speed stat in harsh sunlight.","87.5","12.5","Red / Blue / Yellow","0","0","0","1","1","0","45","Medium Slow","1059860","142","70","60","62","63","80","80","60","Monster","Grass","20","1","Level Up","Level 16","",""
"3","Venusaur","Seed Pokemon","","2.00","100.00","Grass","Poison","Overgrow","Powers up Grass-type moves when the Pokemon's HP is low.","","","Chlorophyll","Boosts the Pokemon's Speed stat in harsh sunlight.","87.5","12.5","Red / Blue / Yellow","0","0","0","2","1","0","45","Medium Slow","1059860","236","70","80","82","83","100","100","80","Monster","Grass","20","2","Level Up","Level 32","",""
"252","Treecko","Wood Gecko Pokemon","",".50","5.00","Grass","","Overgrow","Powers up Grass-type moves when the Pokemon's HP is low.","","","Unburden","Boosts the Speed stat if the Pokemon's held item is used or lost.","87.5","12.5","Ruby / Sapphire","0","0","0","0","0","1","45","Medium Slow","1059860","62","70","40","45","35","65","55","70","Monster","Dragon","20","","","","",""
"253","Grovyle","Wood Gecko Pokemon","",".90","21.60","Grass","","Overgrow","Powers up Grass-type moves when the Pokemon's HP is low.","","","Unburden","Boosts the Speed stat if the Pokemon's held item is used or lost.","87.5","12.5","Ruby / Sapphire","0","0","0","0","0","2","45","Medium Slow","1059860","142","70","50","65","45","85","65","95","Monster","Dragon","20","252","Level Up","Level 16","",""
"254","Sceptile","Forest Pokemon","","1.70","52.20","Grass","","Overgrow","Powers up Grass-type moves when the Pokemon's HP is low.","","","Unburden","Boosts the Speed stat if the Pokemon's held item is used or lost.","87.5","12.5","Ruby / Sapphire","0","0","0","0","0","3","45","Medium Slow","1059860","239","70","70","85","65","105","85","120","Monster","Dragon","20","253","Level Up","Level 36","",""
"650","Chespin","Spiky Nut Pokemon","",".40","9.00","Grass","","Overgrow","Powers up Grass-type moves when the Pokemon's HP is low.","","","Bulletproof","Protects the Pokemon from some ball and bomb moves.","87.5","12.5","X / Y","0","0","1","0","0","0","45","Medium Slow","1059860","63","70","56","61","65","48","45","38","Field","","20","","","","",""
"651","Quilladin","Spiky Armor Pokemon","",".70","29.00","Grass","","Overgrow","Powers up Grass-type moves when the Pokemon's HP is low.","","","Bulletproof","Protects the Pokemon from some ball and bomb moves.","87.5","12.5","X / Y","0","0","2","0","0","0","45","Medium Slow","1059860","142","70","61","78","95","56","58","57","Field","","20","650","Level Up","Level 16","",""
"652","Chesnaught","Spiky Armor Pokemon","","1.60","90.00","Grass","Fighting","Overgrow","Powers up Grass-type moves when the Pokemon's HP is low.","","","Bulletproof","Protects the Pokemon from some ball and bomb moves.","87.5","12.5","X / Y","0","0","3","0","0","0","45","Medium Slow","1059860","239","70","88","107","122","74","75","64","Field","","20","651","Level Up","Level 36","",""
"722","Rowlet","Grass Quill Pokemon","",".30","1.50","Grass","Flying","Overgrow","Powers up Grass-type moves when the Pokemon's HP is low.","","","Long Reach","The Pokemon uses its moves without making contact with the target.","87.5","12.5","Sun / Moon","1","0","0","0","0","0","45","Medium Slow","1059860","64","70","68","55","55","50","50","42","Flying","","15","","","","",""
"723","Dartrix","Blade Quill Pokemon","",".70","16.00","Grass","Flying","Overgrow","Powers up Grass-type moves when the Pokemon's HP is low.","","","Long Reach","The Pokemon uses its moves without making contact with the target.","87.5","12.5","Sun / Moon","2","0","0","0","0","0","45","Medium Slow","1059860","147","70","78","75","75","70","70","52","Flying","","15","722","Level Up","Level 17","",""
"724","Decidueye","Arrow Quill Pokemon","","1.60","36.60","Grass","Ghost","Overgrow","Powers up Grass-type moves when the Pokemon's HP is low.","","","Long Reach","The Pokemon uses its moves without making contact with the target.","87.5","12.5","Sun / Moon","0","3","0","0","0","0","45","Medium Slow","1059860","239","70","78","107","75","100","100","70","Flying","","15","723","Level Up","Level 34","",""
"152","Chikorita","Leaf Pokemon","",".90","6.40","Grass","","Overgrow","Powers up Grass-type moves when the Pokemon's HP is low.","","","Leaf Guard","Prevents status conditions in harsh sunlight.","87.5","12.5","Gold / Silver / Crystal","0","0","0","0","1","0","45","Medium Slow","1059860","64","70","45","49","65","49","65","45","Monster","Grass","20","","","","",""
"153","Bayleef","Leaf Pokemon","","1.20","15.80","Grass","","Overgrow","Powers up Grass-type moves when the Pokemon's HP is low.","","","Leaf Guard","Prevents status conditions in harsh sunlight.","87.5","12.5","Gold / Silver / Crystal","0","0","1","0","1","0","45","Medium Slow","1059860","142","70","60","62","80","63","80","60","Monster","Grass","20","152","Level Up","Level 16","",""
"154","Meganium","Herb Pokemon","","1.80","100.50","Grass","","Overgrow","Powers up Grass-type moves when the Pokemon's HP is low.","","","Leaf Guard","Prevents status conditions in harsh sunlight.","87.5","12.5","Gold / Silver / Crystal","0","0","1","0","2","0","45","Medium Slow","1059860","236","70","80","82","100","83","100","80","Monster","Grass","20","153","Level Up","Level 32","",""
"387","Turtwig","Tiny Leaf Pokemon","",".40","10.20","Grass","","Overgrow","Powers up Grass-type moves when the Pokemon's HP is low.","","","Shell Armor","A hard shell protects the Pokemon from critical hits.","87.5","12.5","Diamond / Pearl","0","1","0","0","0","0","45","Medium Slow","1059860","64","70","55","68","64","45","55","31","Monster","Grass","20","","","","",""
"388","Grotle","Grove Pokemon","","1.10","97.00","Grass","","Overgrow","Powers up Grass-type moves when the Pokemon's HP is low.","","","Shell Armor","A hard shell protects the Pokemon from critical hits.","87.5","12.5","Diamond / Pearl","0","1","1","0","0","0","45","Medium Slow","1059860","142","70","75","89","85","55","65","36","Monster","Grass","20","387","Level Up","Level 18","",""
"389","Torterra","Continent Pokemon","","2.20","310.00","Grass","Ground","Overgrow","Powers up Grass-type moves when the Pokemon's HP is low.","","","Shell Armor","A hard shell protects the Pokemon from critical hits.","87.5","12.5","Diamond / Pearl","0","2","1","0","0","0","45","Medium Slow","1059860","236","70","95","109","105","75","85","56","Monster","Grass","20","388","Level Up","Level 32","",""
